Rk,Date,G,Age,Tm,Location,Opp,Result,Goals,Assists,PTS,PIM,Player
1,2000-10-06,1,18,MIN,A,MDA,L,1,0,1,0,Marian Gaborik
2,2000-10-07,2,18,MIN,A,PHX,L,0,0,0,2,Marian Gaborik
3,2000-10-11,3,18,MIN,H,PHI,T,1,0,1,0,Marian Gaborik
4,2000-10-13,4,18,MIN,A,STL,L,0,0,0,0,Marian Gaborik
5,2000-10-15,5,18,MIN,H,EDM,L,0,1,1,0,Marian Gaborik
6,2000-10-18,6,18,MIN,H,TBL,W,2,0,2,0,Marian Gaborik
7,2000-10-20,7,18,MIN,H,SJS,L,0,0,0,0,Marian Gaborik
8,2000-10-22,8,18,MIN,H,FLA,T,0,0,0,0,Marian Gaborik
9,2000-10-24,9,18,MIN,A,MTL,T,0,0,0,2,Marian Gaborik
10,2000-10-25,10,18,MIN,A,TOR,L,0,0,0,0,Marian Gaborik
11,2000-10-27,11,18,MIN,H,CGY,W,0,1,1,0,Marian Gaborik
12,2000-10-29,12,18,MIN,H,CHI,L,1,1,2,2,Marian Gaborik
13,2000-11-03,13,18,MIN,A,EDM,L,0,0,0,0,Marian Gaborik
14,2000-11-05,14,18,MIN,A,CGY,W,0,0,0,0,Marian Gaborik
15,2000-11-07,15,18,MIN,A,COL,L,0,0,0,0,Marian Gaborik
16,2000-11-08,16,18,MIN,H,CGY,L,0,0,0,0,Marian Gaborik
17,2000-11-10,17,18,MIN,A,CHI,W,1,0,1,0,Marian Gaborik
18,2000-11-12,18,18,MIN,H,EDM,L-OT,0,1,1,2,Marian Gaborik
19,2000-11-15,19,18,MIN,H,NYR,L,0,0,0,0,Marian Gaborik
20,2000-11-30,20,18,MIN,A,PHX,L,0,0,0,0,Marian Gaborik
21,2000-12-02,21,18,MIN,A,LAK,L,0,0,0,0,Marian Gaborik
22,2000-12-07,22,18,MIN,A,CHI,W,0,1,1,2,Marian Gaborik
23,2000-12-08,23,18,MIN,H,MDA,L-OT,0,0,0,2,Marian Gaborik
24,2000-12-10,24,18,MIN,H,NSH,L,0,0,0,0,Marian Gaborik
25,2000-12-13,25,18,MIN,H,CAR,T,0,0,0,0,Marian Gaborik
26,2000-12-14,26,18,MIN,A,WSH,L,0,0,0,0,Marian Gaborik
27,2000-12-17,27,18,MIN,H,DAL,W,1,1,2,0,Marian Gaborik
28,2000-12-20,28,18,MIN,H,OTT,T,0,1,1,0,Marian Gaborik
29,2000-12-22,29,18,MIN,H,LAK,W,0,0,0,0,Marian Gaborik
30,2000-12-27,30,18,MIN,A,DET,W,1,0,1,0,Marian Gaborik
31,2000-12-29,31,18,MIN,H,PHX,T,0,0,0,0,Marian Gaborik
32,2000-12-31,32,18,MIN,H,MDA,W,0,0,0,0,Marian Gaborik
33,2001-01-03,33,18,MIN,H,ATL,T,0,0,0,0,Marian Gaborik
34,2001-01-05,34,18,MIN,H,DET,W,0,0,0,0,Marian Gaborik
35,2001-01-10,35,18,MIN,H,WSH,W,0,0,0,2,Marian Gaborik
36,2001-01-12,36,18,MIN,H,COL,L,0,0,0,0,Marian Gaborik
37,2001-01-14,37,18,MIN,A,NYR,L,0,0,0,0,Marian Gaborik
38,2001-01-15,38,18,MIN,A,CBJ,L,0,0,0,0,Marian Gaborik
39,2001-01-17,39,18,MIN,H,CBJ,W,1,0,1,0,Marian Gaborik
40,2001-01-19,40,18,MIN,H,NYI,W,0,1,1,0,Marian Gaborik
41,2001-01-21,41,18,MIN,H,NJD,L,0,1,1,0,Marian Gaborik
42,2001-01-24,42,18,MIN,A,MDA,W,0,1,1,0,Marian Gaborik
43,2001-01-27,43,18,MIN,A,LAK,W,2,0,2,0,Marian Gaborik
44,2001-01-30,44,18,MIN,A,VAN,L-OT,1,1,2,0,Marian Gaborik
45,2001-02-06,45,18,MIN,A,TBL,W,1,0,1,0,Marian Gaborik
46,2001-02-07,46,18,MIN,A,FLA,L,0,0,0,0,Marian Gaborik
47,2001-02-09,47,18,MIN,A,DAL,W,1,1,2,0,Marian Gaborik
48,2001-02-11,48,18,MIN,H,PIT,W,0,1,1,0,Marian Gaborik
49,2001-02-14,49,19,MIN,A,PIT,L,0,0,0,4,Marian Gaborik
50,2001-02-16,50,19,MIN,H,LAK,L,0,0,0,0,Marian Gaborik
51,2001-02-18,51,19,MIN,H,SJS,W,0,1,1,0,Marian Gaborik
52,2001-02-21,52,19,MIN,A,DAL,L,0,0,0,2,Marian Gaborik
53,2001-02-23,53,19,MIN,A,COL,L,0,0,0,0,Marian Gaborik
54,2001-02-24,54,19,MIN,A,NSH,L,0,0,0,0,Marian Gaborik
55,2001-02-26,55,19,MIN,H,VAN,L,0,1,1,4,Marian Gaborik
56,2001-03-01,56,19,MIN,A,CGY,T,1,0,1,0,Marian Gaborik
57,2001-03-02,57,19,MIN,A,EDM,L,0,0,0,0,Marian Gaborik
58,2001-03-04,58,19,MIN,A,VAN,W,1,0,1,0,Marian Gaborik
59,2001-03-06,59,19,MIN,H,STL,T,1,0,1,0,Marian Gaborik
60,2001-03-08,60,19,MIN,A,NJD,L,0,1,1,0,Marian Gaborik
61,2001-03-09,61,19,MIN,A,NYI,W,0,0,0,0,Marian Gaborik
62,2001-03-11,62,19,MIN,H,DET,L-OT,0,1,1,0,Marian Gaborik
63,2001-03-14,63,19,MIN,H,STL,L-OT,0,0,0,0,Marian Gaborik
64,2001-03-15,64,19,MIN,A,PHI,L,0,0,0,2,Marian Gaborik
65,2001-03-18,65,19,MIN,A,COL,L,1,0,1,0,Marian Gaborik
66,2001-03-19,66,19,MIN,H,DAL,L,0,0,0,2,Marian Gaborik
67,2001-03-21,67,19,MIN,H,NSH,T,0,0,0,2,Marian Gaborik
68,2001-03-22,68,19,MIN,A,DET,L,0,0,0,0,Marian Gaborik
69,2001-03-25,69,19,MIN,H,VAN,T,0,1,1,2,Marian Gaborik
70,2001-03-28,70,19,MIN,H,PHX,L,0,0,0,0,Marian Gaborik
71,2001-03-31,71,19,MIN,A,NSH,L,0,0,0,0,Marian Gaborik
1,2001-10-07,1,19,MIN,A,LAK,W,0,1,1,0,Marian Gaborik
2,2001-10-10,2,19,MIN,H,BOS,W,0,0,0,0,Marian Gaborik
3,2001-10-12,3,19,MIN,H,CHI,W,0,2,2,2,Marian Gaborik
4,2001-10-14,4,19,MIN,H,EDM,T,1,1,2,2,Marian Gaborik
5,2001-10-16,5,19,MIN,H,SJS,T,1,2,3,2,Marian Gaborik
6,2001-10-19,6,19,MIN,H,STL,L-OT,0,0,0,0,Marian Gaborik
7,2001-10-24,7,19,MIN,H,CAR,L,1,1,2,0,Marian Gaborik
8,2001-10-27,8,19,MIN,A,CGY,L,1,0,1,0,Marian Gaborik
9,2001-10-30,9,19,MIN,A,NSH,W,0,1,1,0,Marian Gaborik
10,2001-10-31,10,19,MIN,H,NSH,L,1,0,1,0,Marian Gaborik
11,2001-11-02,11,19,MIN,H,COL,W,0,1,1,0,Marian Gaborik
12,2001-11-04,12,19,MIN,H,EDM,L,0,0,0,0,Marian Gaborik
13,2001-11-06,13,19,MIN,A,NYR,L,0,0,0,0,Marian Gaborik
14,2001-11-08,14,19,MIN,A,BOS,W,0,0,0,0,Marian Gaborik
15,2001-11-11,15,19,MIN,H,VAN,L,0,0,0,0,Marian Gaborik
16,2001-11-13,16,19,MIN,H,ATL,W,3,0,3,0,Marian Gaborik
17,2001-11-14,17,19,MIN,A,COL,L,0,0,0,0,Marian Gaborik
18,2001-11-16,18,19,MIN,A,DET,L,0,2,2,2,Marian Gaborik
19,2001-11-18,19,19,MIN,H,LAK,T,1,1,2,0,Marian Gaborik
20,2001-11-20,20,19,MIN,A,PHX,L-OT,1,0,1,0,Marian Gaborik
21,2001-11-21,21,19,MIN,A,SJS,W,0,0,0,0,Marian Gaborik
22,2001-11-23,22,19,MIN,H,PHX,W,2,1,3,0,Marian Gaborik
23,2001-11-25,23,19,MIN,H,DAL,L,0,1,1,0,Marian Gaborik
24,2001-11-27,24,19,MIN,H,VAN,W,0,0,0,0,Marian Gaborik
25,2001-11-29,25,19,MIN,H,FLA,W,1,0,1,0,Marian Gaborik
26,2001-12-02,26,19,MIN,H,STL,T,0,2,2,0,Marian Gaborik
27,2001-12-05,27,19,MIN,A,CHI,L,0,1,1,0,Marian Gaborik
28,2001-12-08,28,19,MIN,A,PHI,L,0,0,0,0,Marian Gaborik
29,2001-12-10,29,19,MIN,A,MTL,L,0,0,0,0,Marian Gaborik
30,2001-12-14,30,19,MIN,A,PIT,W,1,1,2,2,Marian Gaborik
31,2001-12-16,31,19,MIN,H,COL,L-OT,0,1,1,0,Marian Gaborik
32,2001-12-18,32,19,MIN,H,MDA,L,0,1,1,0,Marian Gaborik
33,2001-12-28,33,19,MIN,A,EDM,L,0,1,1,0,Marian Gaborik
34,2001-12-29,34,19,MIN,A,CGY,L,0,0,0,0,Marian Gaborik
35,2001-12-31,35,19,MIN,A,DET,L,1,0,1,0,Marian Gaborik
36,2002-01-02,36,19,MIN,H,TBL,W,1,0,1,0,Marian Gaborik
37,2002-01-04,37,19,MIN,H,NSH,W,0,1,1,0,Marian Gaborik
38,2002-01-06,38,19,MIN,H,BUF,L,0,0,0,0,Marian Gaborik
39,2002-01-08,39,19,MIN,H,MTL,W,0,1,1,0,Marian Gaborik
40,2002-01-10,40,19,MIN,A,NSH,T,0,2,2,0,Marian Gaborik
41,2002-01-11,41,19,MIN,H,MDA,T,0,0,0,0,Marian Gaborik
42,2002-01-13,42,19,MIN,H,DAL,L,0,0,0,0,Marian Gaborik
43,2002-01-15,43,19,MIN,A,CAR,L,0,0,0,0,Marian Gaborik
44,2002-01-18,44,19,MIN,A,CBJ,W,1,1,2,0,Marian Gaborik
45,2002-01-19,45,19,MIN,A,OTT,L,0,0,0,0,Marian Gaborik
46,2002-01-23,46,19,MIN,A,MDA,L-OT,1,0,1,2,Marian Gaborik
47,2002-01-24,47,19,MIN,A,LAK,L,0,0,0,0,Marian Gaborik
48,2002-01-26,48,19,MIN,H,NJD,T,0,1,1,0,Marian Gaborik
49,2002-01-28,49,19,MIN,H,CGY,L-OT,0,0,0,2,Marian Gaborik
50,2002-01-30,50,19,MIN,H,LAK,L,0,0,0,2,Marian Gaborik
51,2002-02-05,51,19,MIN,A,TOR,L,0,0,0,0,Marian Gaborik
52,2002-02-06,52,19,MIN,A,WSH,L,0,0,0,0,Marian Gaborik
53,2002-02-08,53,19,MIN,H,COL,L,0,0,0,2,Marian Gaborik
54,2002-02-10,54,19,MIN,H,NYI,W,0,0,0,0,Marian Gaborik
55,2002-02-12,55,19,MIN,A,CBJ,T,0,0,0,0,Marian Gaborik
56,2002-02-13,56,19,MIN,H,DET,L,0,0,0,0,Marian Gaborik
57,2002-02-27,57,20,MIN,A,MDA,W,0,1,1,2,Marian Gaborik
58,2002-03-02,58,20,MIN,A,VAN,L,0,0,0,2,Marian Gaborik
59,2002-03-05,59,20,MIN,H,NYR,L-OT,1,0,1,0,Marian Gaborik
60,2002-03-07,60,20,MIN,A,STL,W,2,0,2,0,Marian Gaborik
61,2002-03-08,61,20,MIN,A,DAL,W,1,0,1,0,Marian Gaborik
62,2002-03-10,62,20,MIN,H,CBJ,W,3,1,4,2,Marian Gaborik
63,2002-03-12,63,20,MIN,H,OTT,L-OT,0,1,1,0,Marian Gaborik
64,2002-03-17,64,20,MIN,H,PHX,T,2,0,2,0,Marian Gaborik
65,2002-03-18,65,20,MIN,H,CGY,W,0,2,2,0,Marian Gaborik
66,2002-03-20,66,20,MIN,H,CBJ,L,0,0,0,2,Marian Gaborik
67,2002-03-23,67,20,MIN,A,NYI,L,0,0,0,0,Marian Gaborik
68,2002-03-26,68,20,MIN,A,STL,W,0,1,1,2,Marian Gaborik
69,2002-03-27,69,20,MIN,A,ATL,W,1,1,2,0,Marian Gaborik
70,2002-03-29,70,20,MIN,H,CHI,L,1,0,1,0,Marian Gaborik
71,2002-03-31,71,20,MIN,A,CHI,L,0,0,0,2,Marian Gaborik
72,2002-04-02,72,20,MIN,A,EDM,L-OT,0,0,0,0,Marian Gaborik
73,2002-04-04,73,20,MIN,A,CGY,L,0,0,0,0,Marian Gaborik
74,2002-04-05,74,20,MIN,A,VAN,L-OT,0,0,0,0,Marian Gaborik
75,2002-04-08,75,20,MIN,H,SJS,W,0,0,0,0,Marian Gaborik
76,2002-04-10,76,20,MIN,A,DAL,T,1,1,2,0,Marian Gaborik
77,2002-04-12,77,20,MIN,A,PHX,L,0,0,0,2,Marian Gaborik
78,2002-04-14,78,20,MIN,H,EDM,L,0,2,2,2,Marian Gaborik
1,2002-10-11,1,20,MIN,H,BOS,W,0,0,0,0,Marian Gaborik
2,2002-10-12,2,20,MIN,A,STL,T,0,2,2,0,Marian Gaborik
3,2002-10-15,3,20,MIN,H,FLA,W,0,1,1,0,Marian Gaborik
4,2002-10-17,4,20,MIN,H,DAL,W,2,0,2,0,Marian Gaborik
5,2002-10-19,5,20,MIN,H,DET,L,0,0,0,0,Marian Gaborik
6,2002-10-22,6,20,MIN,H,CGY,W,1,1,2,0,Marian Gaborik
7,2002-10-24,7,20,MIN,A,CHI,W,0,0,0,0,Marian Gaborik
8,2002-10-26,8,20,MIN,A,PHX,W,2,4,6,0,Marian Gaborik
9,2002-10-27,9,20,MIN,A,COL,T,0,0,0,2,Marian Gaborik
10,2002-10-29,10,20,MIN,H,COL,W,1,0,1,0,Marian Gaborik
11,2002-10-31,11,20,MIN,H,SJS,W,0,0,0,2,Marian Gaborik
12,2002-11-02,12,20,MIN,H,VAN,L,1,1,2,0,Marian Gaborik
13,2002-11-04,13,20,MIN,A,LAK,W,3,0,3,0,Marian Gaborik
14,2002-11-07,14,20,MIN,A,PHX,L,0,0,0,0,Marian Gaborik
15,2002-11-09,15,20,MIN,A,SJS,W,1,0,1,0,Marian Gaborik
16,2002-11-10,16,20,MIN,A,MDA,L,0,0,0,0,Marian Gaborik
17,2002-11-12,17,20,MIN,H,EDM,L,0,0,0,0,Marian Gaborik
18,2002-11-14,18,20,MIN,H,PIT,T,0,0,0,0,Marian Gaborik
19,2002-11-16,19,20,MIN,H,WSH,W,0,0,0,0,Marian Gaborik
20,2002-11-19,20,20,MIN,H,LAK,T,1,0,1,0,Marian Gaborik
21,2002-11-21,21,20,MIN,A,WSH,W,0,0,0,2,Marian Gaborik
22,2002-11-23,22,20,MIN,H,NSH,W,3,0,3,0,Marian Gaborik
23,2002-11-25,23,20,MIN,H,VAN,L,0,0,0,2,Marian Gaborik
24,2002-11-27,24,20,MIN,A,DAL,L,0,0,0,0,Marian Gaborik
25,2002-11-29,25,20,MIN,H,COL,T,0,0,0,0,Marian Gaborik
26,2002-12-03,26,20,MIN,A,EDM,L-OT,0,1,1,0,Marian Gaborik
27,2002-12-05,27,20,MIN,A,CGY,T,0,0,0,0,Marian Gaborik
28,2002-12-07,28,20,MIN,A,VAN,W,3,0,3,0,Marian Gaborik
29,2002-12-10,29,20,MIN,H,TBL,W,1,0,1,0,Marian Gaborik
30,2002-12-12,30,20,MIN,A,DET,W,0,0,0,2,Marian Gaborik
31,2002-12-14,31,20,MIN,A,NSH,L,0,0,0,0,Marian Gaborik
32,2002-12-17,32,20,MIN,H,EDM,W,1,1,2,0,Marian Gaborik
33,2002-12-19,33,20,MIN,H,NYI,L,0,1,1,2,Marian Gaborik
34,2002-12-21,34,20,MIN,A,COL,L,1,0,1,0,Marian Gaborik
35,2002-12-23,35,20,MIN,H,CGY,L,1,0,1,0,Marian Gaborik
36,2002-12-26,36,20,MIN,A,CHI,T,0,0,0,0,Marian Gaborik
37,2002-12-28,37,20,MIN,A,BUF,W,1,2,3,0,Marian Gaborik
38,2002-12-31,38,20,MIN,H,MDA,W,0,2,2,0,Marian Gaborik
39,2003-01-02,39,20,MIN,A,EDM,W,0,0,0,0,Marian Gaborik
40,2003-01-04,40,20,MIN,A,CGY,L,0,2,2,6,Marian Gaborik
41,2003-01-06,41,20,MIN,H,LAK,L,0,0,0,2,Marian Gaborik
42,2003-01-08,42,20,MIN,H,CBJ,L,0,0,0,0,Marian Gaborik
43,2003-01-10,43,20,MIN,H,PHX,W,0,0,0,0,Marian Gaborik
44,2003-01-14,44,20,MIN,H,BUF,L,0,0,0,0,Marian Gaborik
45,2003-01-16,45,20,MIN,H,VAN,W,1,3,4,0,Marian Gaborik
46,2003-01-18,46,20,MIN,H,MDA,L,0,0,0,2,Marian Gaborik
47,2003-01-20,47,20,MIN,A,MDA,W,0,0,0,0,Marian Gaborik
48,2003-01-23,48,20,MIN,A,LAK,W,1,1,2,0,Marian Gaborik
49,2003-01-25,49,20,MIN,A,SJS,L,1,0,1,2,Marian Gaborik
50,2003-01-28,50,20,MIN,A,VAN,T,0,0,0,2,Marian Gaborik
51,2003-01-29,51,20,MIN,A,EDM,L,0,1,1,2,Marian Gaborik
52,2003-02-05,52,20,MIN,H,CHI,W,0,1,1,0,Marian Gaborik
53,2003-02-07,53,20,MIN,H,SJS,W,0,1,1,0,Marian Gaborik
54,2003-02-09,54,20,MIN,A,NJD,L,0,1,1,0,Marian Gaborik
55,2003-02-10,55,20,MIN,A,PHI,W,0,0,0,0,Marian Gaborik
56,2003-02-12,56,20,MIN,H,PHI,W,0,0,0,0,Marian Gaborik
57,2003-02-14,57,21,MIN,H,PHX,L,0,0,0,0,Marian Gaborik
58,2003-02-15,58,21,MIN,A,COL,L,0,0,0,0,Marian Gaborik
59,2003-02-19,59,21,MIN,H,NYR,L,0,0,0,0,Marian Gaborik
60,2003-02-23,60,21,MIN,H,STL,W,0,0,0,0,Marian Gaborik
61,2003-02-25,61,21,MIN,A,OTT,W,1,0,1,0,Marian Gaborik
62,2003-02-27,62,21,MIN,A,MTL,W,1,0,1,2,Marian Gaborik
63,2003-03-01,63,21,MIN,A,STL,L,0,0,0,0,Marian Gaborik
64,2003-03-04,64,21,MIN,H,NJD,W,0,0,0,2,Marian Gaborik
65,2003-03-06,65,21,MIN,A,NSH,T,0,1,1,0,Marian Gaborik
66,2003-03-07,66,21,MIN,A,CAR,L,0,0,0,4,Marian Gaborik
67,2003-03-09,67,21,MIN,A,ATL,W,0,1,1,0,Marian Gaborik
68,2003-03-12,68,21,MIN,H,DAL,W,0,1,1,0,Marian Gaborik
69,2003-03-14,69,21,MIN,H,NSH,W,0,1,1,0,Marian Gaborik
70,2003-03-15,70,21,MIN,A,CBJ,L,0,0,0,0,Marian Gaborik
71,2003-03-17,71,21,MIN,A,TBL,T,1,0,1,0,Marian Gaborik
72,2003-03-19,72,21,MIN,A,FLA,W,0,1,1,0,Marian Gaborik
73,2003-03-21,73,21,MIN,A,DAL,W,0,0,0,4,Marian Gaborik
74,2003-03-23,74,21,MIN,H,DET,W,0,1,1,0,Marian Gaborik
75,2003-03-25,75,21,MIN,A,DET,L,0,0,0,2,Marian Gaborik
76,2003-03-26,76,21,MIN,H,STL,L,0,0,0,0,Marian Gaborik
77,2003-03-28,77,21,MIN,H,CHI,W,0,1,1,0,Marian Gaborik
78,2003-03-31,78,21,MIN,H,CGY,W,0,1,1,4,Marian Gaborik
79,2003-04-02,79,21,MIN,A,CBJ,L,0,0,0,0,Marian Gaborik
80,2003-04-03,80,21,MIN,A,TOR,L,0,0,0,0,Marian Gaborik
81,2003-04-06,81,21,MIN,H,CBJ,W,1,1,2,0,Marian Gaborik
1,2003-11-04,1,21,MIN,A,COL,T,0,0,0,0,Marian Gaborik
2,2003-11-07,2,21,MIN,A,CGY,W,0,0,0,0,Marian Gaborik
3,2003-11-08,3,21,MIN,A,VAN,L,1,0,1,0,Marian Gaborik
4,2003-11-11,4,21,MIN,H,VAN,W,0,0,0,0,Marian Gaborik
5,2003-11-13,5,21,MIN,H,EDM,L,0,0,0,2,Marian Gaborik
6,2003-11-15,6,21,MIN,H,DET,T,0,1,1,0,Marian Gaborik
7,2003-11-19,7,21,MIN,A,PIT,W,1,1,2,0,Marian Gaborik
8,2003-11-20,8,21,MIN,A,PHI,L,0,0,0,0,Marian Gaborik
9,2003-11-22,9,21,MIN,H,DET,L,0,0,0,0,Marian Gaborik
10,2003-11-26,10,21,MIN,H,DAL,L,0,1,1,0,Marian Gaborik
11,2003-11-28,11,21,MIN,H,SJS,L,0,0,0,0,Marian Gaborik
12,2003-11-30,12,21,MIN,H,MDA,T,0,0,0,0,Marian Gaborik
13,2003-12-03,13,21,MIN,A,EDM,W,1,0,1,0,Marian Gaborik
14,2003-12-05,14,21,MIN,A,CGY,L,0,0,0,0,Marian Gaborik
15,2003-12-06,15,21,MIN,A,VAN,T,0,0,0,0,Marian Gaborik
16,2003-12-09,16,21,MIN,H,CGY,W,0,0,0,0,Marian Gaborik
17,2003-12-11,17,21,MIN,H,TOR,L,0,0,0,0,Marian Gaborik
18,2003-12-13,18,21,MIN,H,BUF,W,0,0,0,0,Marian Gaborik
19,2003-12-15,19,21,MIN,A,PHX,W,0,0,0,0,Marian Gaborik
20,2003-12-17,20,21,MIN,A,COL,W,0,1,1,0,Marian Gaborik
21,2003-12-18,21,21,MIN,A,EDM,T,0,0,0,0,Marian Gaborik
22,2003-12-20,22,21,MIN,H,CBJ,W,0,1,1,4,Marian Gaborik
23,2003-12-23,23,21,MIN,H,NSH,T,1,0,1,2,Marian Gaborik
24,2003-12-26,24,21,MIN,A,DET,T,1,0,1,0,Marian Gaborik
25,2003-12-29,25,21,MIN,A,CGY,T,0,0,0,0,Marian Gaborik
26,2003-12-30,26,21,MIN,A,EDM,T,0,0,0,0,Marian Gaborik
27,2004-01-02,27,21,MIN,H,EDM,L,0,0,0,0,Marian Gaborik
28,2004-01-04,28,21,MIN,A,COL,L,0,0,0,0,Marian Gaborik
29,2004-01-05,29,21,MIN,A,STL,T,0,0,0,0,Marian Gaborik
30,2004-01-07,30,21,MIN,H,CHI,W,0,2,2,0,Marian Gaborik
31,2004-01-09,31,21,MIN,H,PHX,L,0,0,0,0,Marian Gaborik
32,2004-01-12,32,21,MIN,H,NSH,T,0,0,0,0,Marian Gaborik
33,2004-01-14,33,21,MIN,H,LAK,T,0,1,1,0,Marian Gaborik
34,2004-01-16,34,21,MIN,H,PIT,W,0,0,0,0,Marian Gaborik
35,2004-01-17,35,21,MIN,A,STL,T,0,0,0,0,Marian Gaborik
36,2004-01-19,36,21,MIN,A,NSH,L,0,0,0,0,Marian Gaborik
37,2004-01-21,37,21,MIN,H,CHI,W,0,0,0,0,Marian Gaborik
38,2004-02-02,38,21,MIN,H,STL,W,0,1,1,2,Marian Gaborik
39,2004-02-04,39,21,MIN,A,NYR,W,1,1,2,0,Marian Gaborik
40,2004-02-10,40,21,MIN,H,LAK,L,0,1,1,0,Marian Gaborik
41,2004-02-13,41,21,MIN,H,EDM,W,0,0,0,0,Marian Gaborik
42,2004-02-15,42,22,MIN,H,CGY,L,0,0,0,0,Marian Gaborik
43,2004-02-17,43,22,MIN,A,NJD,T,3,0,3,0,Marian Gaborik
44,2004-02-19,44,22,MIN,H,VAN,W,1,1,2,2,Marian Gaborik
45,2004-02-22,45,22,MIN,H,COL,L,0,0,0,0,Marian Gaborik
46,2004-02-26,46,22,MIN,A,NSH,L,0,0,0,0,Marian Gaborik
47,2004-02-27,47,22,MIN,A,DAL,L,0,0,0,0,Marian Gaborik
48,2004-02-29,48,22,MIN,H,CAR,T,1,0,1,2,Marian Gaborik
49,2004-03-03,49,22,MIN,A,MDA,L,0,0,0,0,Marian Gaborik
50,2004-03-04,50,22,MIN,A,LAK,T,0,0,0,0,Marian Gaborik
51,2004-03-07,51,22,MIN,A,PHX,T,0,0,0,0,Marian Gaborik
52,2004-03-09,52,22,MIN,A,SJS,W,0,1,1,0,Marian Gaborik
53,2004-03-10,53,22,MIN,A,VAN,T,0,0,0,2,Marian Gaborik
54,2004-03-14,54,22,MIN,H,CBJ,W,0,1,1,0,Marian Gaborik
55,2004-03-16,55,22,MIN,H,OTT,W,3,2,5,0,Marian Gaborik
56,2004-03-18,56,22,MIN,A,BOS,W,0,0,0,0,Marian Gaborik
57,2004-03-19,57,22,MIN,A,NYI,L,0,0,0,2,Marian Gaborik
58,2004-03-22,58,22,MIN,H,PHX,L-OT,0,0,0,0,Marian Gaborik
59,2004-03-24,59,22,MIN,A,CBJ,L,0,0,0,0,Marian Gaborik
60,2004-03-25,60,22,MIN,A,CHI,W,1,2,3,0,Marian Gaborik
61,2004-03-28,61,22,MIN,H,MDA,W,1,0,1,0,Marian Gaborik
62,2004-03-29,62,22,MIN,A,DET,L,0,1,1,0,Marian Gaborik
63,2004-03-31,63,22,MIN,H,COL,W,0,1,1,2,Marian Gaborik
64,2004-04-02,64,22,MIN,H,DAL,W,1,2,3,0,Marian Gaborik
65,2004-04-04,65,22,MIN,H,STL,W,1,0,1,0,Marian Gaborik
1,2005-10-19,1,23,MIN,H,SJS,W,0,2,2,0,Marian Gaborik
2,2005-10-22,2,23,MIN,A,STL,W,0,2,2,4,Marian Gaborik
3,2005-10-23,3,23,MIN,A,CHI,L,2,0,2,0,Marian Gaborik
4,2005-11-23,4,23,MIN,H,EDM,L,1,1,2,0,Marian Gaborik
5,2005-11-25,5,23,MIN,H,STL,W,1,1,2,0,Marian Gaborik
6,2005-11-30,6,23,MIN,H,CBJ,L-SO,0,0,0,2,Marian Gaborik
7,2005-12-01,7,23,MIN,A,NSH,L,0,0,0,2,Marian Gaborik
8,2005-12-03,8,23,MIN,A,NJD,L-SO,0,1,1,0,Marian Gaborik
9,2005-12-05,9,23,MIN,A,NYR,L,0,0,0,0,Marian Gaborik
10,2005-12-08,10,23,MIN,A,PIT,W,1,1,2,0,Marian Gaborik
11,2005-12-10,11,23,MIN,A,PHI,L,0,2,2,0,Marian Gaborik
12,2005-12-11,12,23,MIN,H,BUF,L,0,1,1,2,Marian Gaborik
13,2005-12-13,13,23,MIN,A,NYI,W,2,0,2,2,Marian Gaborik
14,2005-12-15,14,23,MIN,H,BOS,L,0,0,0,0,Marian Gaborik
15,2005-12-17,15,23,MIN,H,MTL,W,0,0,0,2,Marian Gaborik
16,2005-12-19,16,23,MIN,H,DAL,W,1,0,1,2,Marian Gaborik
17,2005-12-22,17,23,MIN,A,COL,L,0,0,0,0,Marian Gaborik
18,2005-12-23,18,23,MIN,H,COL,W,1,1,2,0,Marian Gaborik
19,2005-12-26,19,23,MIN,A,EDM,W,1,0,1,0,Marian Gaborik
20,2005-12-28,20,23,MIN,A,EDM,W,2,0,2,2,Marian Gaborik
21,2005-12-29,21,23,MIN,A,CGY,L,0,0,0,0,Marian Gaborik
22,2005-12-31,22,23,MIN,H,VAN,W,0,0,0,0,Marian Gaborik
23,2006-01-03,23,23,MIN,A,DET,W,0,1,1,0,Marian Gaborik
24,2006-01-05,24,23,MIN,H,COL,L,0,0,0,0,Marian Gaborik
25,2006-01-07,25,23,MIN,H,MDA,W,1,1,2,2,Marian Gaborik
26,2006-01-09,26,23,MIN,H,DAL,L,0,0,0,2,Marian Gaborik
27,2006-01-14,27,23,MIN,H,CGY,L,0,0,0,0,Marian Gaborik
28,2006-01-16,28,23,MIN,H,OTT,L,0,0,0,2,Marian Gaborik
29,2006-01-18,29,23,MIN,H,TOR,W,1,1,2,0,Marian Gaborik
30,2006-01-20,30,23,MIN,H,CHI,W,1,0,1,0,Marian Gaborik
31,2006-01-22,31,23,MIN,A,CHI,W,0,1,1,0,Marian Gaborik
32,2006-01-24,32,23,MIN,H,PHX,W,1,0,1,0,Marian Gaborik
33,2006-01-26,33,23,MIN,H,NSH,W,1,0,1,0,Marian Gaborik
34,2006-01-27,34,23,MIN,A,CBJ,L,0,0,0,0,Marian Gaborik
35,2006-01-30,35,23,MIN,H,DET,L,1,0,1,2,Marian Gaborik
36,2006-01-31,36,23,MIN,A,COL,L,1,1,2,2,Marian Gaborik
