,Player,Age,Player_Season_Num,PTS,GP,prev_GP,prev_G,prev_A,prev_PTS,prev_S,prev_TOI,career_GP,career_G,career_A,career_PTS,career_S,games,total_goals_per_game,goals_pp,chances_pp,shots,shot_pct
0,Aaron Broten,23.0,4,36,80,2,0,0,0,1.0,,2,0,0,0,1.0,80,7.69,77,340,2441,12.6
1,Aaron Broten,24.0,5,57,80,58,15,24,39,67.0,,60,15,24,39,68.0,80,8.03,73,320,2489,12.9
2,Aaron Broten,25.0,6,43,66,73,16,39,55,126.0,,133,31,63,94,194.0,80,7.73,71,310,2444,12.7
3,Aaron Broten,26.0,7,79,80,80,13,23,36,103.0,,213,44,86,130,297.0,80,7.89,74,336,2448,12.9
4,Aaron Broten,27.0,8,83,80,80,22,35,57,169.0,,293,66,121,187,466.0,80,7.77,71,321,2447,12.7
5,Aaron Broten,28.0,9,59,80,66,18,25,43,157.0,,359,84,146,230,623.0,80,7.94,82,370,2484,12.8
6,Aaron Broten,29.0,10,36,77,80,26,53,79,179.0,,439,110,199,309,802.0,80,7.34,72,344,2400,12.2
7,Aaron Broten,30.0,11,19,47,80,26,57,83,180.0,,519,136,256,392,982.0,80,7.43,89,437,2435,12.2
8,Aaron Broten,31.0,12,9,25,80,16,43,59,178.0,,599,152,299,451,1160.0,80,7.48,85,403,2430,12.3
9,Aaron Downey,28.0,4,2,43,1,0,0,0,0.0,9.0,1,0,0,0,0.0,82,5.49,53,331,2294,9.8
10,Aaron Downey,29.0,5,2,37,3,0,0,0,2.0,17.0,4,0,0,0,2.0,82,5.51,63,376,2272,9.9
11,Aaron Downey,31.0,6,7,42,36,1,0,1,10.0,184.0,40,1,0,1,12.0,82,5.24,53,338,2262,9.5
12,Aaron Downey,32.0,7,1,21,43,1,1,2,14.0,205.0,83,2,1,3,26.0,82,5.31,60,363,2326,9.4
13,Aaron Downey,33.0,8,3,56,37,1,1,2,11.0,167.0,120,3,2,5,37.0,82,5.14,57,348,2300,9.2
14,Aaron Downey,34.0,9,2,4,42,3,4,7,21.0,235.0,162,6,6,12,58.0,82,6.05,85,480,2458,10.1
15,Aaron Ekblad,21.0,4,38,82,81,12,27,39,170.0,1767.0,81,12,27,39,170.0,82,5.32,47,251,2453,8.9
16,Aaron Ekblad,22.0,5,37,82,78,15,21,36,182.0,1691.0,159,27,48,75,352.0,82,5.34,48,255,2438,9.0
17,Aaron Ekblad,23.0,6,41,67,68,10,11,21,225.0,1459.0,227,37,59,96,577.0,82,5.45,47,245,2478,9.0
18,Aaron Gagnon,26.0,4,3,10,2,0,0,0,2.0,18.0,2,0,0,0,2.0,82,5.53,56,304,2486,9.1
19,Aaron Gavey,24.0,4,0,7,73,8,4,12,65.0,,73,8,4,12,65.0,82,6.29,74,413,2481,10.4
20,Aaron Gavey,25.0,5,13,41,57,8,11,19,62.0,,130,16,15,31,127.0,82,5.83,55,336,2444,9.8
21,Aaron Gavey,26.0,6,24,75,26,2,3,5,27.0,,156,18,18,36,154.0,82,5.28,57,380,2242,9.6
22,Aaron Gavey,27.0,7,17,71,7,0,0,0,4.0,57.0,163,18,18,36,158.0,82,5.27,57,359,2285,9.4
23,Aaron Gavey,28.0,8,1,5,41,7,6,13,39.0,406.0,204,25,24,49,197.0,82,5.49,53,331,2294,9.8
24,Aaron Gavey,31.0,9,0,5,75,10,14,24,100.0,1050.0,279,35,38,73,297.0,82,5.51,63,376,2272,9.9
25,Aaron Johnson,24.0,4,2,30,29,2,6,8,33.0,436.0,29,2,6,8,33.0,82,5.14,57,348,2300,9.2
26,Aaron Johnson,25.0,5,8,38,26,2,6,8,28.0,369.0,55,4,12,16,61.0,82,6.05,85,480,2458,10.1
27,Aaron Johnson,26.0,6,10,41,61,3,7,10,52.0,776.0,116,7,19,26,113.0,82,5.76,70,398,2426,9.7
28,Aaron Johnson,28.0,7,16,56,30,0,2,2,16.0,416.0,146,7,21,28,129.0,82,5.44,62,351,2383,9.4
29,Aaron Johnson,29.0,8,0,10,38,3,5,8,27.0,537.0,184,10,26,36,156.0,82,5.7,65,341,2477,9.4
30,Aaron Miller,25.0,4,17,56,1,0,0,0,0.0,,1,0,0,0,0.0,84,6.48,76,407,2545,10.7
31,Aaron Miller,26.0,5,4,55,9,0,3,3,12.0,,10,0,3,3,12.0,48,5.97,37,209,1408,10.2
32,Aaron Miller,27.0,6,18,76,5,0,0,0,2.0,,15,0,3,3,14.0,82,6.29,74,413,2481,10.4
33,Aaron Miller,28.0,7,8,53,56,5,12,17,47.0,,71,5,15,20,61.0,82,5.83,55,336,2444,9.8
34,Aaron Miller,29.0,8,18,69,55,2,2,4,29.0,,126,7,17,24,90.0,82,5.28,57,380,2242,9.6
35,Aaron Miller,30.0,9,17,74,76,5,13,18,87.0,1658.0,202,12,30,42,177.0,82,5.27,57,359,2285,9.4
36,Aaron Miller,31.0,10,6,49,53,1,7,8,44.0,1012.0,255,13,37,50,221.0,82,5.49,53,331,2294,9.8
37,Aaron Miller,32.0,11,3,35,69,4,14,18,59.0,1327.0,324,17,51,68,280.0,82,5.51,63,376,2272,9.9
38,Aaron Miller,34.0,12,8,56,74,5,12,17,75.0,1654.0,398,22,63,85,355.0,82,5.24,53,338,2262,9.5
39,Aaron Miller,35.0,13,8,82,49,1,5,6,34.0,1053.0,447,23,68,91,389.0,82,5.31,60,363,2326,9.4
40,Aaron Miller,36.0,14,9,57,35,1,2,3,26.0,665.0,482,24,70,94,415.0,82,5.14,57,348,2300,9.2
41,Aaron Ness,26.0,4,0,2,9,0,0,0,6.0,152.0,9,0,0,0,6.0,82,5.32,47,271,2439,8.9
42,Aaron Ness,27.0,5,1,8,20,1,2,3,23.0,296.0,29,1,2,3,29.0,82,5.34,48,269,2463,8.9
43,Aaron Ness,29.0,6,1,24,8,0,2,2,8.0,99.0,37,1,4,5,37.0,82,5.34,48,255,2438,9.0
44,Aaron Palushaj,24.0,4,0,2,3,0,0,0,3.0,26.0,3,0,0,0,3.0,82,5.46,52,291,2492,9.0
45,Aaron Rome,26.0,4,4,49,1,0,0,0,1.0,15.0,1,0,0,0,1.0,82,5.76,70,398,2426,9.7
46,Aaron Rome,27.0,5,5,56,17,1,1,2,15.0,309.0,18,1,1,2,16.0,82,5.44,62,351,2383,9.4
47,Aaron Rome,28.0,6,10,43,8,0,1,1,7.0,124.0,26,1,2,3,23.0,82,5.7,65,341,2477,9.4
48,Aaron Rome,29.0,7,5,27,49,0,4,4,49.0,744.0,75,1,6,7,72.0,82,5.53,56,304,2486,9.1
49,Aaron Rome,30.0,8,1,25,56,1,4,5,50.0,975.0,131,2,10,12,122.0,82,5.46,52,291,2492,9.0
50,Aaron Volpatti,28.0,4,2,41,15,1,1,2,6.0,102.0,15,1,1,2,6.0,82,5.46,52,291,2492,9.0
51,Aaron Volpatti,29.0,5,0,2,23,1,0,1,17.0,206.0,38,2,1,3,23.0,82,5.32,47,271,2439,8.9
52,Aaron Voros,29.0,4,0,12,55,7,7,14,52.0,505.0,55,7,7,14,52.0,82,5.44,62,351,2383,9.4
53,Aaron Ward,25.0,4,10,52,5,1,0,1,3.0,,5,1,0,1,3.0,84,6.48,76,407,2545,10.7
54,Aaron Ward,26.0,5,11,60,1,0,1,1,0.0,,6,1,1,2,3.0,48,5.97,37,209,1408,10.2
55,Aaron Ward,27.0,6,4,36,49,2,5,7,40.0,,55,3,6,9,43.0,82,5.83,55,336,2444,9.8
56,Aaron Ward,28.0,7,9,73,52,5,5,10,47.0,,107,8,11,19,90.0,82,5.28,57,380,2242,9.6
57,Aaron Ward,29.0,8,14,79,60,3,8,11,46.0,835.0,167,11,19,30,136.0,82,5.27,57,359,2285,9.4
58,Aaron Ward,30.0,9,9,77,36,1,3,4,25.0,453.0,203,12,22,34,161.0,82,5.49,53,331,2294,9.8
59,Aaron Ward,31.0,10,8,49,73,4,5,9,48.0,1241.0,276,16,27,43,209.0,82,5.51,63,376,2272,9.9
60,Aaron Ward,33.0,11,25,71,79,3,11,14,69.0,1554.0,355,19,38,57,278.0,82,5.24,53,338,2262,9.5
61,Aaron Ward,34.0,12,16,80,77,3,6,9,66.0,1441.0,432,22,44,66,344.0,82,5.31,60,363,2326,9.4
62,Aaron Ward,35.0,13,13,65,49,3,5,8,51.0,875.0,481,25,49,74,395.0,82,5.14,57,348,2300,9.2
63,Aaron Ward,36.0,14,10,65,71,6,19,25,60.0,1358.0,552,31,68,99,455.0,82,6.05,85,480,2458,10.1
64,Aaron Ward,37.0,15,13,77,80,4,12,16,62.0,1614.0,632,35,80,115,517.0,82,5.76,70,398,2426,9.7
65,Adam Burish,27.0,4,4,13,9,0,0,0,12.0,100.0,9,0,0,0,12.0,82,5.76,70,398,2426,9.7
66,Adam Burish,28.0,5,14,63,81,4,4,8,69.0,952.0,90,4,4,8,81.0,82,5.44,62,351,2383,9.4
67,Adam Burish,29.0,6,19,65,66,6,3,9,83.0,608.0,156,10,7,17,164.0,82,5.7,65,341,2477,9.4
68,Adam Burish,30.0,7,3,46,13,1,3,4,9.0,114.0,169,11,10,21,173.0,82,5.53,56,304,2486,9.1
69,Adam Burish,31.0,8,0,15,63,8,6,14,89.0,904.0,232,19,16,35,262.0,82,5.46,52,291,2492,9.0
70,Adam Burish,32.0,9,3,20,65,6,13,19,82.0,831.0,297,25,29,54,344.0,82,5.32,47,271,2439,8.9
71,Adam Burt,23.0,4,24,66,5,0,0,0,1.0,,5,0,0,0,1.0,80,7.48,85,403,2430,12.3
72,Adam Burt,24.0,5,20,65,63,4,8,12,83.0,,68,4,8,12,84.0,80,7.37,76,367,2421,12.2
73,Adam Burt,25.0,6,18,63,42,2,7,9,43.0,,110,6,15,21,127.0,80,6.91,71,366,2385,11.6
74,Adam Burt,26.0,7,18,46,66,9,15,24,89.0,,176,15,30,45,216.0,80,6.96,77,402,2440,11.4
75,Adam Burt,27.0,8,13,78,65,6,14,20,81.0,,241,21,44,65,297.0,84,7.25,87,443,2603,11.7
76,Adam Burt,28.0,9,13,71,63,1,17,18,91.0,,304,22,61,83,388.0,84,6.48,76,407,2545,10.7
77,Adam Burt,29.0,10,12,76,46,7,11,18,73.0,,350,29,72,101,461.0,48,5.97,37,209,1408,10.2
78,Adam Burt,30.0,11,4,68,78,4,9,13,90.0,,428,33,81,114,551.0,82,6.29,74,413,2481,10.4
79,Adam Burt,31.0,12,7,67,71,2,11,13,85.0,,499,35,92,127,636.0,82,5.83,55,336,2444,9.8
80,Adam Burt,32.0,13,2,27,76,1,11,12,51.0,,575,36,103,139,687.0,82,5.28,57,380,2242,9.6
81,Adam Clendening,25.0,4,2,5,21,1,3,4,17.0,349.0,21,1,3,4,17.0,82,5.32,47,251,2453,8.9
82,Adam Clendening,26.0,5,0,4,29,1,6,7,43.0,429.0,50,2,9,11,60.0,82,5.34,48,255,2438,9.0
