,Player,Age,Player_Season_Num,PTS,GP,prev_GP,prev_G,prev_A,prev_PTS,prev_S,prev_TOI,career_GP,career_G,career_A,career_PTS,career_S,games,total_goals_per_game,goals_pp,chances_pp,shots,shot_pct
83,Adam Cracknell,28.0,4,2,19,24,3,4,7,26.0,214.0,24,3,4,7,26.0,82,5.46,52,291,2492,9.0
84,Adam Cracknell,29.0,5,1,17,2,1,0,1,1.0,15.0,26,4,4,8,27.0,82,5.32,47,271,2439,8.9
85,Adam Cracknell,30.0,6,10,52,20,2,4,6,21.0,172.0,46,6,8,14,48.0,48,5.31,29,160,1399,9.1
86,Adam Cracknell,31.0,7,16,69,19,0,2,2,16.0,155.0,65,6,10,16,64.0,82,5.34,48,269,2463,8.9
87,Adam Cracknell,32.0,8,0,5,17,0,1,1,17.0,169.0,82,6,11,17,81.0,82,5.32,47,251,2453,8.9
88,Adam Cracknell,33.0,9,0,2,52,5,5,10,68.0,636.0,134,11,16,27,149.0,82,5.34,48,255,2438,9.0
89,Adam Creighton,21.0,4,40,56,7,2,2,4,8.0,,7,2,2,4,8.0,80,7.89,74,336,2448,12.9
90,Adam Creighton,22.0,5,27,36,30,2,8,10,20.0,,37,4,10,14,28.0,80,7.77,71,321,2447,12.7
91,Adam Creighton,23.0,6,46,67,19,1,1,2,9.0,,56,5,11,16,37.0,80,7.94,82,370,2484,12.8
92,Adam Creighton,24.0,7,70,80,56,18,22,40,109.0,,112,23,33,56,146.0,80,7.34,72,344,2400,12.2
93,Adam Creighton,25.0,8,51,72,36,10,17,27,61.0,,148,33,50,83,207.0,80,7.43,89,437,2435,12.2
94,Adam Creighton,26.0,9,36,77,67,22,24,46,155.0,,215,55,74,129,362.0,80,7.48,85,403,2430,12.3
95,Adam Creighton,27.0,10,39,83,80,34,36,70,156.0,,295,89,110,199,518.0,80,7.37,76,367,2421,12.2
96,Adam Creighton,28.0,11,20,53,72,22,29,51,127.0,,367,111,139,250,645.0,80,6.91,71,366,2385,11.6
97,Adam Creighton,29.0,12,34,48,77,21,15,36,140.0,,444,132,154,286,785.0,80,6.96,77,402,2440,11.4
98,Adam Creighton,30.0,13,21,61,83,19,20,39,168.0,,527,151,174,325,953.0,84,7.25,87,443,2603,11.7
99,Adam Creighton,31.0,14,3,19,53,10,10,20,77.0,,580,161,184,345,1030.0,84,6.48,76,407,2545,10.7
100,Adam Deadmarsh,22.0,4,43,73,48,9,8,17,48.0,,48,9,8,17,48.0,48,5.97,37,209,1408,10.2
101,Adam Deadmarsh,23.0,5,49,66,78,21,27,48,151.0,,126,30,35,65,199.0,82,6.29,74,413,2481,10.4
102,Adam Deadmarsh,24.0,6,45,71,78,33,27,60,198.0,,204,63,62,125,397.0,82,5.83,55,336,2444,9.8
103,Adam Deadmarsh,25.0,7,32,57,73,22,21,43,187.0,,277,85,83,168,584.0,82,5.28,57,380,2242,9.6
104,Adam Deadmarsh,26.0,8,62,76,66,22,27,49,152.0,1371.0,343,107,110,217,736.0,82,5.27,57,359,2285,9.4
105,Adam Deadmarsh,27.0,9,17,20,71,18,27,45,153.0,1452.0,414,125,137,262,889.0,82,5.49,53,331,2294,9.8
106,Adam Erne,24.0,4,5,56,26,3,0,3,40.0,307.0,26,3,0,3,40.0,82,5.45,47,245,2478,9.0
107,Adam Foote,23.0,4,7,35,46,2,5,7,55.0,,46,2,5,7,55.0,80,6.96,77,402,2440,11.4
108,Adam Foote,24.0,5,16,73,81,4,12,16,54.0,,127,6,17,23,109.0,84,7.25,87,443,2603,11.7
109,Adam Foote,25.0,6,21,78,45,2,6,8,42.0,,172,8,23,31,151.0,84,6.48,76,407,2545,10.7
110,Adam Foote,26.0,7,17,77,35,0,7,7,24.0,,207,8,30,38,175.0,48,5.97,37,209,1408,10.2
111,Adam Foote,27.0,8,21,64,73,5,11,16,49.0,,280,13,41,54,224.0,82,6.29,74,413,2481,10.4
112,Adam Foote,28.0,9,18,59,78,2,19,21,60.0,,358,15,60,75,284.0,82,5.83,55,336,2444,9.8
113,Adam Foote,29.0,10,15,35,77,3,14,17,64.0,,435,18,74,92,348.0,82,5.28,57,380,2242,9.6
114,Adam Foote,30.0,11,27,55,64,5,16,21,83.0,1589.0,499,23,90,113,431.0,82,5.27,57,359,2285,9.4
115,Adam Foote,31.0,12,31,78,59,5,13,18,63.0,1526.0,558,28,103,131,494.0,82,5.49,53,331,2294,9.8
116,Adam Foote,32.0,13,30,73,35,3,12,15,59.0,888.0,593,31,115,146,553.0,82,5.51,63,376,2272,9.9
117,Adam Foote,34.0,14,22,65,55,5,22,27,85.0,1429.0,648,36,137,173,638.0,82,5.24,53,338,2262,9.5
118,Adam Foote,35.0,15,12,59,78,11,20,31,106.0,2005.0,726,47,157,204,744.0,82,5.31,60,363,2326,9.4
119,Adam Foote,36.0,16,16,75,73,8,22,30,105.0,1756.0,799,55,179,234,849.0,82,5.14,57,348,2300,9.2
120,Adam Foote,37.0,17,7,42,65,6,16,22,67.0,1597.0,864,61,195,256,916.0,82,6.05,85,480,2458,10.1
121,Adam Foote,38.0,18,9,67,59,3,9,12,78.0,1459.0,923,64,204,268,994.0,82,5.76,70,398,2426,9.7
122,Adam Foote,39.0,19,8,47,75,1,15,16,66.0,1754.0,998,65,219,284,1060.0,82,5.44,62,351,2383,9.4
123,Adam Graves,22.0,4,25,76,9,0,1,1,9.0,,9,0,1,1,9.0,80,7.43,89,437,2435,12.2
124,Adam Graves,23.0,5,59,80,56,7,5,12,60.0,,65,7,6,13,69.0,80,7.48,85,403,2430,12.3
125,Adam Graves,24.0,6,65,84,76,9,13,22,94.0,,141,16,19,35,163.0,80,7.37,76,367,2421,12.2
126,Adam Graves,25.0,7,79,84,76,7,18,25,126.0,,217,23,37,60,289.0,80,6.91,71,366,2385,11.6
127,Adam Graves,26.0,8,31,47,80,26,33,59,228.0,,297,49,70,119,517.0,80,6.96,77,402,2440,11.4
128,Adam Graves,27.0,9,58,82,84,36,29,65,275.0,,381,85,99,184,792.0,84,7.25,87,443,2603,11.7
129,Adam Graves,28.0,10,61,82,84,52,27,79,291.0,,465,137,126,263,1083.0,84,6.48,76,407,2545,10.7
130,Adam Graves,29.0,11,35,72,47,17,14,31,185.0,,512,154,140,294,1268.0,48,5.97,37,209,1408,10.2
131,Adam Graves,30.0,12,53,82,82,22,36,58,266.0,,594,176,176,352,1534.0,82,6.29,74,413,2481,10.4
132,Adam Graves,31.0,13,40,77,82,33,28,61,269.0,,676,209,204,413,1803.0,82,5.83,55,336,2444,9.8
133,Adam Graves,32.0,14,26,82,72,23,12,35,226.0,,748,232,216,448,2029.0,82,5.28,57,380,2242,9.6
134,Adam Graves,33.0,15,31,81,82,38,15,53,239.0,1685.0,830,270,231,501,2268.0,82,5.27,57,359,2285,9.4
135,Adam Graves,34.0,16,18,82,77,23,17,40,194.0,1445.0,907,293,248,541,2462.0,82,5.49,53,331,2294,9.8
136,Adam Hall,25.0,4,29,75,1,0,1,1,2.0,14.0,1,0,1,1,2.0,82,5.24,53,338,2262,9.5
137,Adam Hall,26.0,5,17,72,79,16,12,28,146.0,1117.0,80,16,13,29,148.0,82,5.31,60,363,2326,9.4
138,Adam Hall,27.0,6,6,46,79,13,14,27,151.0,1283.0,159,29,27,56,299.0,82,5.14,57,348,2300,9.2
139,Adam Hall,28.0,7,10,74,75,14,15,29,122.0,1258.0,234,43,42,85,421.0,82,6.05,85,480,2458,10.1
140,Adam Hall,30.0,8,18,82,72,6,11,17,103.0,891.0,306,49,53,102,524.0,82,5.76,70,398,2426,9.7
141,Adam Hall,31.0,9,7,57,46,2,4,6,39.0,546.0,352,51,57,108,563.0,82,5.44,62,351,2383,9.4
142,Adam Hall,32.0,10,4,37,74,5,5,10,90.0,829.0,426,56,62,118,653.0,82,5.7,65,341,2477,9.4
143,Adam Hall,33.0,11,9,80,82,7,11,18,167.0,1218.0,508,63,73,136,820.0,82,5.46,52,291,2492,9.0
144,Adam Henrique,23.0,4,43,77,1,0,0,0,3.0,13.0,1,0,0,0,3.0,82,5.46,52,291,2492,9.0
145,Adam Henrique,24.0,5,43,75,74,16,35,51,130.0,1344.0,75,16,35,51,133.0,82,5.32,47,271,2439,8.9
146,Adam Henrique,25.0,6,50,80,42,11,5,16,78.0,769.0,117,27,40,67,211.0,48,5.31,29,160,1399,9.1
147,Adam Henrique,26.0,7,40,82,77,25,18,43,137.0,1390.0,194,52,58,110,348.0,82,5.34,48,269,2463,8.9
148,Adam Henrique,27.0,8,50,81,75,16,27,43,127.0,1331.0,269,68,85,153,475.0,82,5.32,47,251,2453,8.9
149,Adam Henrique,28.0,9,42,82,80,30,20,50,149.0,1586.0,349,98,105,203,624.0,82,5.34,48,255,2438,9.0
150,Adam Henrique,29.0,10,43,71,82,20,20,40,142.0,1490.0,431,118,125,243,766.0,82,5.45,47,245,2478,9.0
151,Adam Larsson,22.0,4,24,64,65,2,16,18,68.0,1340.0,65,2,16,18,68.0,82,5.32,47,271,2439,8.9
152,Adam Larsson,23.0,5,18,82,37,0,6,6,30.0,670.0,102,2,22,24,98.0,48,5.31,29,160,1399,9.1
153,Adam Larsson,24.0,6,19,79,26,1,2,3,20.0,462.0,128,3,24,27,118.0,82,5.34,48,269,2463,8.9
154,Adam Larsson,25.0,7,13,63,64,3,21,24,91.0,1342.0,192,6,45,51,209.0,82,5.32,47,251,2453,8.9
155,Adam Larsson,26.0,8,20,82,82,3,15,18,65.0,1846.0,274,9,60,69,274.0,82,5.34,48,255,2438,9.0
156,Adam Larsson,27.0,9,6,49,79,4,15,19,85.0,1592.0,353,13,75,88,359.0,82,5.45,47,245,2478,9.0
157,Adam Lowry,24.0,4,21,45,80,11,12,23,104.0,1100.0,80,11,12,23,104.0,82,5.32,47,251,2453,8.9
158,Adam Lowry,25.0,5,23,78,74,7,10,17,73.0,1037.0,154,18,22,40,177.0,82,5.34,48,255,2438,9.0
159,Adam Lowry,26.0,6,10,49,82,15,14,29,122.0,1316.0,236,33,36,69,299.0,82,5.45,47,245,2478,9.0
160,Adam Mair,23.0,4,17,79,8,1,0,1,7.0,92.0,8,1,0,1,7.0,82,5.49,53,331,2294,9.8
161,Adam Mair,24.0,5,20,81,26,0,2,2,22.0,207.0,34,1,2,3,29.0,82,5.51,63,376,2272,9.9
162,Adam Mair,26.0,6,7,40,18,1,1,2,10.0,129.0,52,2,3,5,39.0,82,5.24,53,338,2262,9.5
163,Adam Mair,27.0,7,11,82,79,6,11,17,83.0,839.0,131,8,14,22,122.0,82,5.31,60,363,2326,9.4
164,Adam Mair,28.0,8,17,72,81,6,14,20,82.0,780.0,212,14,28,42,204.0,82,5.14,57,348,2300,9.2
165,Adam Mair,29.0,9,19,75,40,2,5,7,40.0,320.0,252,16,33,49,244.0,82,6.05,85,480,2458,10.1
166,Adam Mair,30.0,10,14,69,82,2,9,11,73.0,619.0,334,18,42,60,317.0,82,5.76,70,398,2426,9.7
167,Adam Mair,31.0,11,4,65,72,5,12,17,62.0,638.0,406,23,54,77,379.0,82,5.44,62,351,2383,9.4
168,Adam McQuaid,26.0,4,4,32,19,1,0,1,10.0,204.0,19,1,0,1,10.0,82,5.53,56,304,2486,9.1
169,Adam McQuaid,27.0,5,6,30,67,3,12,15,46.0,996.0,86,4,12,16,56.0,82,5.46,52,291,2492,9.0
170,Adam McQuaid,28.0,6,7,63,72,2,8,10,63.0,1077.0,158,6,20,26,119.0,82,5.32,47,271,2439,8.9
171,Adam McQuaid,29.0,7,9,64,32,1,3,4,26.0,457.0,190,7,23,30,145.0,48,5.31,29,160,1399,9.1
172,Adam McQuaid,30.0,8,10,77,30,1,5,6,25.0,481.0,220,8,28,36,170.0,82,5.34,48,269,2463,8.9
173,Adam McQuaid,31.0,9,4,38,63,1,6,7,60.0,1161.0,283,9,34,43,230.0,82,5.32,47,251,2453,8.9
174,Adam McQuaid,32.0,10,7,50,64,1,8,9,42.0,1155.0,347,10,42,52,272.0,82,5.34,48,255,2438,9.0
175,Adam Oates,26.0,4,78,69,38,9,11,20,49.0,,38,9,11,20,49.0,80,7.94,82,370,2484,12.8
176,Adam Oates,27.0,5,102,80,76,15,32,47,138.0,,114,24,43,67,187.0,80,7.34,72,344,2400,12.2
177,Adam Oates,28.0,6,115,61,63,14,40,54,111.0,,177,38,83,121,298.0,80,7.43,89,437,2435,12.2
178,Adam Oates,29.0,7,99,80,69,16,62,78,127.0,,246,54,145,199,425.0,80,7.48,85,403,2430,12.3
179,Adam Oates,30.0,8,142,84,80,23,79,102,168.0,,326,77,224,301,593.0,80,7.37,76,367,2421,12.2
180,Adam Oates,31.0,9,112,77,61,25,90,115,139.0,,387,102,314,416,732.0,80,6.91,71,366,2385,11.6
181,Adam Oates,32.0,10,53,48,80,20,79,99,191.0,,467,122,393,515,923.0,80,6.96,77,402,2440,11.4
182,Adam Oates,33.0,11,92,70,84,45,97,142,254.0,,551,167,490,657,1177.0,84,7.25,87,443,2603,11.7
183,Adam Oates,34.0,12,82,80,77,32,80,112,197.0,,628,199,570,769,1374.0,84,6.48,76,407,2545,10.7
184,Adam Oates,35.0,13,76,82,48,12,41,53,109.0,,676,211,611,822,1483.0,48,5.97,37,209,1408,10.2
185,Adam Oates,36.0,14,54,59,70,25,67,92,183.0,,746,236,678,914,1666.0,82,6.29,74,413,2481,10.4
186,Adam Oates,37.0,15,71,82,80,22,60,82,160.0,,826,258,738,996,1826.0,82,5.83,55,336,2444,9.8
187,Adam Oates,38.0,16,82,81,82,18,58,76,121.0,,908,276,796,1072,1947.0,82,5.28,57,380,2242,9.6
188,Adam Oates,39.0,17,78,80,59,12,42,54,79.0,1213.0,967,288,838,1126,2026.0,82,5.27,57,359,2285,9.4
189,Adam Oates,40.0,18,45,67,82,15,56,71,93.0,1832.0,1049,303,894,1197,2119.0,82,5.49,53,331,2294,9.8
190,Adam Oates,41.0,19,18,60,81,13,69,82,72.0,1701.0,1130,316,963,1279,2191.0,82,5.51,63,376,2272,9.9
191,Adam Pardy,27.0,4,3,36,60,1,9,10,38.0,900.0,60,1,9,10,38.0,82,5.7,65,341,2477,9.4
192,Adam Pardy,28.0,5,4,17,57,2,7,9,40.0,904.0,117,3,16,19,78.0,82,5.53,56,304,2486,9.1
193,Adam Pardy,29.0,6,6,60,30,1,6,7,36.0,441.0,147,4,22,26,114.0,82,5.46,52,291,2492,9.0
194,Adam Pardy,30.0,7,9,55,36,0,3,3,29.0,593.0,183,4,25,29,143.0,82,5.32,47,271,2439,8.9
195,Adam Pardy,31.0,8,4,23,17,0,4,4,6.0,281.0,200,4,29,33,149.0,48,5.31,29,160,1399,9.1
196,Adam Pardy,32.0,9,0,4,60,0,6,6,47.0,865.0,260,4,35,39,196.0,82,5.34,48,269,2463,8.9
197,Adam Pelech,24.0,4,21,78,9,0,2,2,8.0,158.0,9,0,2,2,8.0,82,5.34,48,255,2438,9.0
198,Adam Pelech,25.0,5,9,38,44,3,7,10,40.0,741.0,53,3,9,12,48.0,82,5.45,47,245,2478,9.0
199,Adrian Aucoin,24.0,4,6,35,1,1,0,1,2.0,,1,1,0,1,2.0,48,5.97,37,209,1408,10.2
200,Adrian Aucoin,25.0,5,34,82,49,4,14,18,85.0,,50,5,14,19,87.0,82,6.29,74,413,2481,10.4
201,Adrian Aucoin,26.0,6,24,57,70,5,16,21,116.0,,120,10,30,40,203.0,82,5.83,55,336,2444,9.8
202,Adrian Aucoin,27.0,7,28,73,35,3,3,6,44.0,,155,13,33,46,247.0,82,5.28,57,380,2242,9.6
203,Adrian Aucoin,28.0,8,34,81,82,23,11,34,174.0,1957.0,237,36,44,80,421.0,82,5.27,57,359,2285,9.4
204,Adrian Aucoin,29.0,9,35,73,57,10,14,24,126.0,1317.0,294,46,58,104,547.0,82,5.49,53,331,2294,9.8
205,Adrian Aucoin,30.0,10,44,81,73,4,24,28,159.0,1475.0,367,50,82,132,706.0,82,5.51,63,376,2272,9.9
206,Adrian Aucoin,32.0,11,6,33,81,12,22,34,232.0,2340.0,448,62,104,166,938.0,82,5.24,53,338,2262,9.5
207,Adrian Aucoin,33.0,12,16,59,73,8,27,35,175.0,2118.0,521,70,131,201,1113.0,82,5.31,60,363,2326,9.4
208,Adrian Aucoin,34.0,13,35,76,81,13,31,44,213.0,2157.0,602,83,162,245,1326.0,82,5.14,57,348,2300,9.2
209,Adrian Aucoin,35.0,14,34,81,33,1,5,6,59.0,758.0,635,84,167,251,1385.0,82,6.05,85,480,2458,10.1
210,Adrian Aucoin,36.0,15,28,82,59,4,12,16,96.0,1229.0,694,88,179,267,1481.0,82,5.76,70,398,2426,9.7
211,Adrian Aucoin,37.0,16,22,75,76,10,25,35,121.0,1593.0,770,98,204,302,1602.0,82,5.44,62,351,2383,9.4
212,Adrian Aucoin,38.0,17,9,64,81,10,24,34,126.0,1806.0,851,108,228,336,1728.0,82,5.7,65,341,2477,9.4
213,Adrian Aucoin,39.0,18,4,36,82,8,20,28,144.0,1849.0,933,116,248,364,1872.0,82,5.53,56,304,2486,9.1
